País,Competición,Categoría,Temporada,Jornada,Equipo 1,Resultado,Equipo 2
España,La Liga,1ª división,2012-2013,26,Getafe,2-0,Zaragoza
España,La Liga,1ª división,2012-2013,26,R. Madrid,2-1,FC Barcelona
España,La Liga,1ª división,2012-2013,26,Deportivo,0-0,Rayo
España,La Liga,1ª división,2012-2013,26,Osasuna,0-1,Athletic
España,La Liga,1ª división,2012-2013,26,Valencia,2-2,Levante
España,La Liga,1ª división,2012-2013,26,Granada,1-2,Mallorca
España,La Liga,1ª división,2012-2013,26,Espanyol,0-0,Valladolid
España,La Liga,1ª división,2012-2013,26,Málaga,0-0,Atlético
España,La Liga,1ª división,2012-2013,26,R. Sociedad,3-3,Betis
España,La Liga,1ª división,2012-2013,26,Sevilla,4-1,Celta
España,La Liga,1ª división,2012-2013,27,Betis,2-1,Osasuna
España,La Liga,1ª división,2012-2013,27,Rayo,2-0,Espanyol
España,La Liga,1ª división,2012-2013,27,Valladolid,1-1,Málaga
España,La Liga,1ª división,2012-2013,27,FC Barcelona,2-0,Deportivo
España,La Liga,1ª división,2012-2013,27,Mallorca,2-1,Sevilla
España,La Liga,1ª división,2012-2013,27,Athletic,1-0,Valencia
España,La Liga,1ª división,2012-2013,27,Levante,0-0,Getafe
España,La Liga,1ª división,2012-2013,27,Celta,1-2,R. Madrid
España,La Liga,1ª división,2012-2013,27,Atlético,0-1,R. Sociedad
España,La Liga,1ª división,2012-2013,27,Zaragoza,0-0,Granada
España,La Liga,1ª división,2012-2013,28,Deportivo,3-1,Celta
España,La Liga,1ª división,2012-2013,28,R. Sociedad,4-1,Valladolid
España,La Liga,1ª división,2012-2013,28,Getafe,1-0,Athletic
España,La Liga,1ª división,2012-2013,28,R. Madrid,5-2,Mallorca
España,La Liga,1ª división,2012-2013,28,Valencia,3-0,Betis
España,La Liga,1ª división,2012-2013,28,Málaga,0-2,Espanyol
España,La Liga,1ª división,2012-2013,28,Sevilla,4-0,Zaragoza
España,La Liga,1ª división,2012-2013,28,Osasuna,0-2,Atlético
España,La Liga,1ª división,2012-2013,28,Granada,1-1,Levante
España,La Liga,1ª división,2012-2013,28,FC Barcelona,3-1,Rayo
España,La Liga,1ª división,2012-2013,29,Rayo,1-3,Málaga
España,La Liga,1ª división,2012-2013,29,Celta,2-2,FC Barcelona
España,La Liga,1ª división,2012-2013,29,Zaragoza,1-1,R. Madrid
España,La Liga,1ª división,2012-2013,29,Levante,1-0,Sevilla
España,La Liga,1ª división,2012-2013,29,Valladolid,1-3,Osasuna
España,La Liga,1ª división,2012-2013,29,Mallorca,2-3,Deportivo
España,La Liga,1ª división,2012-2013,29,Espanyol,2-2,R. Sociedad
España,La Liga,1ª división,2012-2013,29,Atlético,1-1,Valencia
España,La Liga,1ª división,2012-2013,29,Athletic,1-0,Granada
España,La Liga,1ª división,2012-2013,29,Betis,0-0,Getafe
España,La Liga,1ª división,2012-2013,30,Granada,1-5,Betis
España,La Liga,1ª división,2012-2013,30,R. Sociedad,4-2,Málaga
España,La Liga,1ª división,2012-2013,30,R. Madrid,5-1,Levante
España,La Liga,1ª división,2012-2013,30,Deportivo,3-2,Zaragoza
España,La Liga,1ª división,2012-2013,30,FC Barcelona,5-0,Mallorca
España,La Liga,1ª división,2012-2013,30,Celta,0-2,Rayo
España,La Liga,1ª división,2012-2013,30,Osasuna,0-2,Espanyol
España,La Liga,1ª división,2012-2013,30,Getafe,0-0,Atlético
España,La Liga,1ª división,2012-2013,30,Valencia,2-1,Valladolid
España,La Liga,1ª división,2012-2013,30,Sevilla,2-1,Athletic
España,La Liga,1ª división,2012-2013,31,Betis,3-3,Sevilla
España,La Liga,1ª división,2012-2013,31,Valladolid,2-1,Getafe
España,La Liga,1ª división,2012-2013,31,Levante,0-4,Deportivo
España,La Liga,1ª división,2012-2013,31,Espanyol,3-3,Valencia
España,La Liga,1ª división,2012-2013,31,Málaga,1-0,Osasuna
España,La Liga,1ª división,2012-2013,31,Rayo,0-2,R. Sociedad
España,La Liga,1ª división,2012-2013,31,Atlético,5-0,Granada
España,La Liga,1ª división,2012-2013,31,Zaragoza,0-3,FC Barcelona
España,La Liga,1ª división,2012-2013,31,Athletic,0-3,R. Madrid
España,La Liga,1ª división,2012-2013,31,Mallorca,1-0,Celta
España,La Liga,1ª división,2012-2013,32,Mallorca,1-1,Rayo
España,La Liga,1ª división,2012-2013,32,Granada,1-1,Valladolid
España,La Liga,1ª división,2012-2013,32,R. Madrid,3-1,Betis
España,La Liga,1ª división,2012-2013,32,FC Barcelona,1-0,Levante
España,La Liga,1ª división,2012-2013,32,Valencia,5-1,Málaga
España,La Liga,1ª división,2012-2013,32,Getafe,0-2,Espanyol
España,La Liga,1ª división,2012-2013,32,Deportivo,1-1,Athletic
España,La Liga,1ª división,2012-2013,32,Osasuna,0-0,R. Sociedad
España,La Liga,1ª división,2012-2013,32,Sevilla,0-1,Atlético
España,La Liga,1ª división,2012-2013,32,Celta,2-1,Zaragoza
España,La Liga,1ª división,2012-2013,33,Rayo,2-2,Osasuna
España,La Liga,1ª división,2012-2013,33,Levante,0-1,Celta
España,La Liga,1ª división,2012-2013,33,Athletic,2-2,FC Barcelona
España,La Liga,1ª división,2012-2013,33,Atlético,1-2,R. Madrid
España,La Liga,1ª división,2012-2013,33,Zaragoza,3-2,Mallorca
España,La Liga,1ª división,2012-2013,33,Espanyol,0-1,Granada
España,La Liga,1ª división,2012-2013,33,Málaga,2-1,Getafe
España,La Liga,1ª división,2012-2013,33,Valladolid,1-1,Sevilla
España,La Liga,1ª división,2012-2013,33,R. Sociedad,4-2,Valencia
España,La Liga,1ª división,2012-2013,33,Betis,1-1,Deportivo
España,La Liga,1ª división,2012-2013,34,Celta,1-1,Athletic
España,La Liga,1ª división,2012-2013,34,Valencia,4-0,Osasuna
España,La Liga,1ª división,2012-2013,34,Granada,1-0,Málaga
España,La Liga,1ª división,2012-2013,34,R. Madrid,4-3,Valladolid
España,La Liga,1ª división,2012-2013,34,Deportivo,0-0,Atlético
España,La Liga,1ª división,2012-2013,34,Mallorca,1-1,Levante
España,La Liga,1ª división,2012-2013,34,Zaragoza,3-0,Rayo
España,La Liga,1ª división,2012-2013,34,Sevilla,3-0,Espanyol
España,La Liga,1ª división,2012-2013,34,FC Barcelona,4-2,Betis
España,La Liga,1ª división,2012-2013,34,Getafe,2-1,R. Sociedad
España,La Liga,1ª división,2012-2013,35,Celta,1-3,Atlético
España,La Liga,1ª división,2012-2013,35,R. Madrid,6-2,Málaga
España,La Liga,1ª división,2012-2013,35,Levante,0-0,Zaragoza
España,La Liga,1ª división,2012-2013,35,Athletic,2-1,Mallorca
España,La Liga,1ª división,2012-2013,35,Valladolid,1-0,Deportivo
España,La Liga,1ª división,2012-2013,35,Osasuna,1-0,Getafe
España,La Liga,1ª división,2012-2013,35,Espanyol,1-1,R. Madrid
España,La Liga,1ª división,2012-2013,35,Rayo,0-4,Valencia
España,La Liga,1ª división,2012-2013,35,Betis,1-0,Celta
España,La Liga,1ª división,2012-2013,35,Atlético,1-2,FC Barcelona
España,La Liga,1ª división,2012-2013,35,Málaga,0-0,Sevilla
España,La Liga,1ª división,2012-2013,35,R. Sociedad,2-2,Granada
España,La Liga,1ª división,2012-2013,36,Getafe,0-1,Valencia
España,La Liga,1ª división,2012-2013,36,Granada,3-0,Osasuna
España,La Liga,1ª división,2012-2013,36,Sevilla,1-2,R. Sociedad
España,La Liga,1ª división,2012-2013,36,Levante,2-3,Rayo
España,La Liga,1ª división,2012-2013,36,Deportivo,2-0,Espanyol
España,La Liga,1ª división,2012-2013,36,Zaragoza,1-2,Athletic
España,La Liga,1ª división,2012-2013,36,FC Barcelona,2-1,Valladolid
España,La Liga,1ª división,2012-2013,36,Mallorca,1-0,Betis
España,La Liga,1ª división,2012-2013,37,Getafe,1-2,Rayo
España,La Liga,1ª división,2012-2013,37,Valencia,1-0,Granada
España,La Liga,1ª división,2012-2013,37,Osasuna,2-1,Sevilla
España,La Liga,1ª división,2012-2013,37,R. Sociedad,3-3,R. Madrid
España,La Liga,1ª división,2012-2013,37,Málaga,3-1,Deportivo
España,La Liga,1ª división,2012-2013,37,Espanyol,0-2,FC Barcelona
España,La Liga,1ª división,2012-2013,37,Valladolid,0-2,Celta
España,La Liga,1ª división,2012-2013,37,Atlético,0-0,Mallorca
España,La Liga,1ª división,2012-2013,37,Betis,4-0,Zaragoza
España,La Liga,1ª división,2012-2013,37,Athletic,0-1,Levante
España,La Liga,1ª división,2012-2013,38,R. Madrid,4-2,Osasuna
España,La Liga,1ª división,2012-2013,38,FC Barcelona,4-1,Málaga
España,La Liga,1ª división,2012-2013,38,Granada,2-0,Getafe
España,La Liga,1ª división,2012-2013,38,Sevilla,4-3,Valencia
España,La Liga,1ª división,2012-2013,38,Deportivo,0-1,R. Sociedad
España,La Liga,1ª división,2012-2013,38,Celta,1-0,Espanyol
España,La Liga,1ª división,2012-2013,38,Mallorca,4-2,Valladolid
España,La Liga,1ª división,2012-2013,38,Zaragoza,1-3,Atlético
